,index,pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
3625,25046,Kepler-737 b,Kepler-737,1,1,0.46,0.06,-0.06,0.0,0.49,0.06,-0.06,0.0
3626,25056,Kepler-738 b,Kepler-738,1,1,0.75,0.13,-0.07,0.0,0.83,0.08,-0.09,0.0
3627,25066,Kepler-739 b,Kepler-739,1,1,1.07,,,0.0,1.0,,,0.0
3628,25076,Kepler-74 b,Kepler-74,1,1,1.51,0.14,-0.14,0.0,1.4,0.14,-0.11,0.0
3629,25089,Kepler-740 b,Kepler-740,1,1,0.87,0.1,-0.05,0.0,0.91,0.04,-0.04,0.0
3630,25099,Kepler-741 b,Kepler-741,1,1,1.07,0.38,-0.38,0.0,1.15,0.11,-0.11,0.0
3631,25109,Kepler-742 b,Kepler-742,1,1,0.73,,,0.0,0.72,,,0.0
3632,25119,Kepler-743 b,Kepler-743,2,1,0.86,0.1,-0.04,0.0,0.96,0.04,-0.07,0.0
3633,25129,Kepler-744 b,Kepler-744,1,1,1.57,0.64,-0.64,0.0,1.06,0.17,-0.17,0.0
3634,25139,Kepler-745 b,Kepler-745,1,1,0.92,0.35,-0.08,0.0,1.01,0.11,-0.13,0.0
3635,25149,Kepler-746 b,Kepler-746,1,1,1.06,0.17,-0.13,0.0,0.92,0.06,-0.04,0.0
3636,25157,Kepler-747 b,Kepler-747,1,1,3.21,,,0.0,,,,
3637,25166,Kepler-748 b,Kepler-748,1,1,1.49,0.14,-0.12,0.0,,,,
3638,25175,Kepler-749 b,Kepler-749,1,1,0.5,0.03,-0.04,0.0,0.52,0.03,-0.02,0.0
3639,25185,Kepler-75 b,Kepler-75,1,1,0.89,0.02,-0.02,0.0,0.91,0.04,-0.04,0.0
3640,25198,Kepler-750 b,Kepler-750,1,2,1.36,,,0.0,1.12,,,0.0
3641,25208,Kepler-750 c,Kepler-750,1,2,1.4,0.07,-0.07,0.0,,,,
3642,25217,Kepler-751 b,Kepler-751,1,1,0.97,0.37,-0.12,0.0,0.88,0.12,-0.07,0.0
3643,25227,Kepler-752 b,Kepler-752,1,1,0.86,0.37,-0.07,0.0,0.93,0.1,-0.09,0.0
3644,25237,Kepler-753 b,Kepler-753,1,1,0.52,0.06,-0.06,0.0,0.53,0.07,-0.07,0.0
3645,25247,Kepler-754 b,Kepler-754,1,1,0.97,0.4,-0.4,0.0,1.0,0.09,-0.09,0.0
3646,25255,Kepler-755 b,Kepler-755,2,2,0.77,0.97,-0.08,0.0,0.73,0.15,-0.06,0.0
3647,25265,Kepler-755 c,Kepler-755,2,2,0.83,0.04,-0.03,0.0,,,,
3648,25275,Kepler-756 b,Kepler-756,1,1,,,,,,,,
3649,25283,Kepler-757 b,Kepler-757,1,1,1.02,0.12,-0.14,0.0,0.88,0.06,-0.03,0.0
3650,25292,Kepler-758 b,Kepler-758,1,4,1.35,0.68,-0.24,0.0,1.26,0.26,-0.22,0.0
3651,25301,Kepler-758 c,Kepler-758,1,4,1.35,0.68,-0.24,0.0,1.26,0.26,-0.22,0.0
3652,25310,Kepler-758 d,Kepler-758,1,4,1.35,0.68,-0.24,0.0,1.26,0.26,-0.22,0.0
3653,25319,Kepler-758 e,Kepler-758,1,4,1.46,0.23,-0.34,0.0,0.96,0.09,-0.08,0.0
3654,25328,Kepler-759 b,Kepler-759,1,1,0.97,0.37,-0.11,0.0,0.96,0.13,-0.11,0.0
3655,25337,Kepler-76 b,Kepler-76,1,1,1.32,0.08,-0.08,0.0,1.2,0.2,-0.2,0.0
3656,25348,Kepler-760 b,Kepler-760,1,2,0.91,,,0.0,0.87,,,0.0
3657,25358,Kepler-760 c,Kepler-760,1,2,0.86,0.04,-0.04,0.0,,,,
3658,25367,Kepler-761 b,Kepler-761,1,1,1.07,0.48,-0.48,0.0,1.07,0.12,-0.12,0.0
3659,25377,Kepler-762 b,Kepler-762,1,1,1.1,0.56,-0.12,0.0,1.07,0.25,-0.11,0.0
3660,25387,Kepler-763 b,Kepler-763,1,1,0.84,0.04,-0.06,0.0,0.8,0.05,-0.03,0.0
3661,25396,Kepler-764 b,Kepler-764,1,1,0.85,0.25,-0.08,0.0,0.94,0.1,-0.12,0.0
3662,25405,Kepler-765 b,Kepler-765,1,1,1.06,0.23,-0.1,0.0,1.05,0.06,-0.06,0.0
3663,25415,Kepler-766 b,Kepler-766,1,1,1.75,,,0.0,1.0,,,0.0
3664,25424,Kepler-767 b,Kepler-767,1,1,0.89,0.26,-0.26,0.0,1.0,0.05,-0.05,0.0
3665,25433,Kepler-768 b,Kepler-768,1,1,0.76,0.09,-0.06,0.0,0.81,0.06,-0.08,0.0
3666,25442,Kepler-769 b,Kepler-769,1,2,1.18,0.18,-0.11,0.0,1.14,0.07,-0.08,0.0
3667,25452,Kepler-769 c,Kepler-769,1,2,1.1,0.06,-0.06,0.0,,,,
3668,25461,Kepler-77 b,Kepler-77,1,1,1.0,0.06,-0.05,0.0,0.99,0.04,-0.03,0.0
3669,25474,Kepler-770 b,Kepler-770,1,3,0.92,0.12,-0.07,0.0,0.94,0.05,-0.06,0.0
3670,25484,Kepler-770 c,Kepler-770,1,3,1.22,0.06,-0.06,0.0,,,,
3671,25493,Kepler-770 d,Kepler-770,1,3,1.22,0.06,-0.06,0.0,,,,
3672,25502,Kepler-771 b,Kepler-771,1,1,0.96,0.41,-0.09,0.0,1.05,0.17,-0.13,0.0
3673,25511,Kepler-772 b,Kepler-772,1,1,1.83,0.09,-0.08,0.0,,,,
