,pl_name,sy_snum,sy_pnum,st_mass
725,HD 208897 b,1,1,1.25
726,HD 209458 b,1,1,
727,HD 210193 b,1,1,1.04
728,HD 210277 b,1,1,0.92
729,HD 210702 b,1,1,1.85
730,HD 211403 b,1,1,1.2
731,HD 211810 b,1,1,1.03
732,HD 211970 b,1,1,0.61
733,HD 212301 b,2,1,1.27
734,HD 212771 b,1,1,1.15
735,HD 213240 b,2,1,1.22
736,HD 213472 b,1,1,1.05
737,HD 213885 b,1,2,
738,HD 213885 c,1,2,1.07
739,HD 21411 b,1,1,0.89
740,HD 214823 b,2,1,1.22
741,HD 215152 b,1,4,0.77
742,HD 215152 c,1,4,0.77
743,HD 215152 d,1,4,0.77
744,HD 215152 e,1,4,0.77
745,HD 215497 b,1,2,0.67
746,HD 215497 c,1,2,0.87
747,HD 216435 b,1,1,1.3
748,HD 216437 b,1,1,1.17
749,HD 216520 b,1,2,0.79
750,HD 216520 c,1,2,0.82
751,HD 216536 b,1,1,0.81
